"id","user","lat","long","tags","Cluster"
"14979921841","47952412@N07",45.762082,4.828411,"square,squareformat,iphoneography,instagramapp,uploaded:by=instagram","cluster_28"
"14684965867","93189970@N02",45.762082,4.828411,"square,lofi,squareformat,iphoneography,instagramapp,uploaded:by=instagram","cluster_28"
"14796473477","47952412@N07",45.762082,4.828411,"square,squareformat,iphoneography,instagramapp,uploaded:by=instagram","cluster_28"
"21131426253","115842233@N04",45.762298,4.828448,"city,longexposure,trip,travel,france,color,beauty,night,canon,noche,town,europe,cityscape,nightshot,lyon,nacht,ciel,7d,bluehour,citycenter,nuit,notte,centreville,eos7d,canoneos7d","cluster_28"
"14829515347","57314912@N03",45.762283,4.828255,"rouge,message,lyon,pentax,garage,rhône,mur,publicité,vieux,lettre,ancien,vente,achat,crépis,justpentax,pentaxart","cluster_28"
"22077483272","41746313@N04",45.762342,4.828222,"lyon","cluster_28"
"15448453400","50262447@N07",45.761722,4.828265,"light,shadow,sun,france,nose,noir,lyon,vincent,skateboard,5d,hugo,et,blanc,bump,mark3,veglio,bernatas","cluster_28"
"21571619981","42140157@N02",45.761778,4.828277,"bw,stairs,court,noiretblanc,guards,tribunal,escalier,colonnes","cluster_28"
"14787374430","77693257@N06",45.761857,4.828426,"travel,summer,france,night,canon,europe,lyon,palaisdejustice,rhône,unesco,courthouse,69,hdr,topaz,2014,rhônealpes,tthdr,canon6d,canon1635f4","cluster_28"
"21903059419","41746313@N04",45.761682,4.828532,"lyon,palaisdejustice","cluster_28"
"12754895965","61247537@N06",45.761802,4.828563,"uploaded:by=flickrmobile,flickriosapp:filter=nofilter","cluster_28"
"12830654084","93784836@N03",45.761741,4.828566,"street,lyon","cluster_28"
"21467122954","41746313@N04",45.761729,4.828834,"lyon","cluster_28"
"12088506344","44752279@N02",45.76175,4.828939,"city,urban,france,court,lyon,palaisdejustice,rhône,tribunal,ville,saintjean,vieuxlyon,rhônealpes,paysageurbain,yolandamiel","cluster_28"
"22450779016","13818951@N08",45.761817,4.828929,"france,lyon,file:md5sum=fc14e19c6a6943519021d4924956e737,file:sha1sig=ca5ddcaa25eaf5159d68adb54a316c29eab72f7c","cluster_28"
"22487744621","13818951@N08",45.761817,4.828929,"france,lyon,file:md5sum=38dde98739fb0507166e23445377366a,file:sha1sig=20d8290b49830833cc406c2c0705934f1a807a81","cluster_28"
