"Consequent","Split Value 1","Split Value 2","Split Value 3","ItemSetSupport","RelativeItemSetSupport%","RuleConfidence%","AbsoluteBodySetSupport","RelativeBodySetSupport%","RuleLift","RuleLift%","AbsoluteHeadItemSupport","RelativeHeadItemSupport%"
"summicron","Cluster_23","franc",,29,0.6624,14.4,202.0,4.6,4.00334,400.33424,157.0,3.58611
"summicron","Cluster_23","lyon",,29,0.6624,10.7,272.0,6.2,2.97307,297.30704,157.0,3.58611
"leitz","Cluster_23","franc",,29,0.6624,14.4,202.0,4.6,4.00334,400.33424,157.0,3.58611
"leitz","Cluster_23","lyon",,29,0.6624,10.7,272.0,6.2,2.97307,297.30704,157.0,3.58611
"leica","Cluster_23","franc",,29,0.6624,14.4,202.0,4.6,3.978,397.80048,158.0,3.60895
"leica","Cluster_23","lyon",,29,0.6624,10.7,272.0,6.2,2.95425,295.42535,158.0,3.60895
"d800","Cluster_23","franc",,29,0.6624,14.4,202.0,4.6,3.95299,395.29859,159.0,3.6318
"d800","Cluster_23","lyon",,29,0.6624,10.7,272.0,6.2,2.93567,293.56733,159.0,3.6318
"lyo15","Cluster_23","franc",,29,0.6624,14.4,202.0,4.6,3.90388,390.38805,161.0,3.67748
"lyo15","Cluster_23","lyon",,29,0.6624,10.7,272.0,6.2,2.89921,289.92053,161.0,3.67748
"35mm","Cluster_23","franc",,29,0.6624,14.4,202.0,4.6,3.83247,383.2468,164.0,3.746
"35mm","Cluster_23","lyon",,29,0.6624,10.7,272.0,6.2,2.84617,284.61711,164.0,3.746
"frankreich","Cluster_23","franc",,29,0.6624,14.4,202.0,4.6,3.59157,359.157,175.0,3.99726
"frankreich","Cluster_23","lyon",,29,0.6624,10.7,272.0,6.2,2.66727,266.72689,175.0,3.99726
"europ","Cluster_23","franc",,15,0.34262,7.4,202.0,4.6,0.77589,77.58926,419.0,9.57058
"europ","Cluster_23","lyon",,15,0.34262,5.5,272.0,6.2,0.57621,57.62144,419.0,9.57058
"nikon","Cluster_23","franc",,31,0.70809,15.3,202.0,4.6,2.30093,230.09291,292.0,6.66971
"nikon","Cluster_23","lyon",,31,0.70809,11.4,272.0,6.2,1.70878,170.87782,292.0,6.66971
"rhônealp","Cluster_23","franc",,60,1.37049,29.7,202.0,4.6,2.37299,237.29855,548.0,12.51713
"rhônealp","Cluster_23","lyon",,60,1.37049,22.1,272.0,6.2,1.76229,176.22907,548.0,12.51713
"lyon","Cluster_23","franc",,197,4.49977,97.5,202.0,4.6,1.21469,121.46895,3515.0,80.2878
"franc","Cluster_23","lyon",,197,4.49977,72.4,272.0,6.2,1.5791,157.9099,2008.0,45.86569
"l35d800","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.61187,161.187,157.0,3.58611
"leitax","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.61187,161.187,157.0,3.58611
"summicronr35mmf2","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.61187,161.187,157.0,3.58611
"summicronr","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.61187,161.187,157.0,3.58611
"summicron","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.61187,161.187,157.0,3.58611
"leitz","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.61187,161.187,157.0,3.58611
"leica","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.60167,160.16683,158.0,3.60895
"d800","Cluster_15_presquile","franc",,20,0.45683,5.8,346.0,7.9,1.59159,159.15949,159.0,3.6318
